Strategy,Sharpe,Sortino,CAGR,Total_Return,Max_Drawdown,Calmar,Annual_Vol,Avg_Leverage,Long_Pct,Cash_Pct,Win_Rate,Profit_Factor,N_Trades
9. Ensemble WFO,1.128,1.758,0.1558,0.6017,-0.0745,2.091,0.0971,0.394,0.593,0.407,0.539,1.309,403
10. Full Stack,0.443,0.65,0.0797,0.2835,-0.0881,0.905,0.0925,0.471,0.522,0.478,0.5317,1.16,414
4. RORO Crash,0.429,0.553,0.0994,0.3612,-0.1499,0.663,0.1555,0.597,0.577,0.423,0.5428,1.15,54
8. Multi-Asset,0.383,0.513,0.0825,0.2942,-0.1113,0.741,0.122,0.681,0.999,0.001,0.5402,1.147,87
5. 2D Signal,0.341,0.282,0.0669,0.2345,-0.1128,0.593,0.0827,0.415,0.479,0.521,0.7579,1.233,77
2. VT Buy & Hold,0.231,0.293,0.0616,0.2148,-0.1141,0.54,0.1135,0.788,0.999,0.001,0.5463,1.105,699
6. RORO 2D,0.211,0.264,0.0582,0.202,-0.133,0.437,0.104,0.415,0.479,0.521,0.5257,1.113,77
7. VT RORO 2D,0.144,0.188,0.0504,0.1734,-0.1113,0.452,0.0939,0.373,0.479,0.521,0.5341,1.104,363
1. Buy & Hold,0.094,0.108,0.0365,0.1236,-0.3372,0.108,0.2243,0.999,0.999,0.001,0.5477,1.059,1
3. Risk Parity,-0.092,-0.104,0.0132,0.0435,-0.2549,0.052,0.157,0.999,0.999,0.001,0.5476,1.033,1
