Task,Model,AUC-ROC,Avg Precision,Precision,Recall,F1,Positive Rate
extreme_vol_10d,SCDA,0.6799793114304347,0.24222440560553507,0.2682926829268293,0.13580246913580246,0.18032786885245902,0.12857142857142856
extreme_vol_10d,Spectral Only,0.5169893633767343,0.21282508912992212,0.21739130434782608,0.12345679012345678,0.15748031496062992,0.12857142857142856
extreme_vol_10d,RF Traditional,0.6326949384404924,0.22647567749908404,0.1889763779527559,0.27906976744186046,0.22535211267605634,0.1365079365079365
extreme_vol_10d,Turbulence RF,0.9042872378243868,0.6804500096861906,0.6510067114093959,0.6689655172413793,0.6598639455782312,0.23015873015873015
extreme_vol_10d,SMA Vol RF,0.8025256341068536,0.5543246137371348,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.1349206349206349
drawdown_3pct_10d,SCDA,0.531137026239067,0.23980859018844042,0.3617021276595745,0.12142857142857143,0.18181818181818182,0.2222222222222222
drawdown_3pct_10d,Spectral Only,0.5533819241982507,0.24700138610310757,0.30357142857142855,0.12142857142857143,0.17346938775510204,0.2222222222222222
drawdown_3pct_10d,RF Traditional,0.5290992375181287,0.225018853987004,0.1917808219178082,0.1958041958041958,0.19377162629757785,0.22698412698412698
drawdown_3pct_10d,Turbulence RF,0.6610538223904625,0.30008737706512456,0.3632075471698113,0.5460992907801419,0.43626062322946174,0.22380952380952382
drawdown_3pct_10d,SMA Vol RF,0.5936126702345212,0.26584732904783326,0.28780487804878047,0.41843971631205673,0.34104046242774566,0.22380952380952382
drawdown_5pct_10d,SCDA,0.4484513805522209,0.05264146666691693,0.05555555555555555,0.02857142857142857,0.03773584905660377,0.05555555555555555
drawdown_5pct_10d,Spectral Only,0.4843217286914766,0.05546856768638768,0.0,0.0,0.0,0.05555555555555555
drawdown_5pct_10d,RF Traditional,0.5208969509138144,0.06241302569332417,0.04580152671755725,0.16216216216216217,0.07142857142857142,0.05873015873015873
drawdown_5pct_10d,Turbulence RF,0.6526193217500523,0.14145861848108576,0.13432835820895522,0.2647058823529412,0.1782178217821782,0.10793650793650794
drawdown_5pct_10d,SMA Vol RF,0.5692677070828331,0.0612043025332937,0.041237113402061855,0.11428571428571428,0.06060606060606061,0.05555555555555555
drawdown_5pct_20d,SCDA,0.5144860190722482,0.1424964109358529,0.15,0.03260869565217391,0.05357142857142857,0.14603174603174604
drawdown_5pct_20d,Spectral Only,0.52349684823016,0.14526398897403675,0.12,0.03260869565217391,0.05128205128205128,0.14603174603174604
drawdown_5pct_20d,RF Traditional,0.4137882701587874,0.1256974528960483,0.10344827586206896,0.1935483870967742,0.1348314606741573,0.14761904761904762
drawdown_5pct_20d,Turbulence RF,0.6005195554914129,0.22132030374795233,0.1885245901639344,0.18699186991869918,0.18775510204081633,0.19523809523809524
drawdown_5pct_20d,SMA Vol RF,0.47253837432408863,0.11872285622879411,0.09696969696969697,0.19047619047619047,0.1285140562248996,0.13333333333333333
drawdown_7pct_20d,SCDA,0.38268081210619853,0.040792272983891466,0.0,0.0,0.0,0.049206349206349205
drawdown_7pct_20d,Spectral Only,0.3769454467122624,0.04172909793874076,0.0,0.0,0.0,0.049206349206349205
drawdown_7pct_20d,RF Traditional,0.3220685376446115,0.05219966687950757,0.0,0.0,0.0,0.0746031746031746
drawdown_7pct_20d,Turbulence RF,0.5515605551771916,0.13112603766278474,0.11392405063291139,0.11688311688311688,0.11538461538461539,0.12222222222222222
drawdown_7pct_20d,SMA Vol RF,0.3701913553345747,0.05155638429180994,0.030303030303030304,0.06976744186046512,0.04225352112676056,0.06825396825396825
down_3pct_5d,SCDA,0.5646765183629808,0.08612090160857319,0.038461538461538464,0.023255813953488372,0.028985507246376812,0.06825396825396825
down_3pct_5d,Spectral Only,0.5315161839863713,0.08039358212231822,0.08333333333333333,0.06976744186046512,0.0759493670886076,0.06825396825396825
down_3pct_5d,RF Traditional,0.6114137931034483,0.09605410146324181,0.05,0.08,0.06153846153846154,0.07936507936507936
down_3pct_5d,Turbulence RF,0.5976758893280633,0.10547793520327092,0.1038961038961039,0.14545454545454545,0.12121212121212122,0.0873015873015873
down_3pct_5d,SMA Vol RF,0.5416944746917699,0.09154103665896765,0.09302325581395349,0.16326530612244897,0.11851851851851852,0.07777777777777778
down_3pct_10d,SCDA,0.5133250741882509,0.09852227573078395,0.045454545454545456,0.01639344262295082,0.024096385542168676,0.09682539682539683
down_3pct_10d,Spectral Only,0.5370653144717508,0.10323398285908068,0.06451612903225806,0.03278688524590164,0.043478260869565216,0.09682539682539683
down_3pct_10d,RF Traditional,0.4489806738951778,0.09617009646809793,0.06293706293706294,0.13432835820895522,0.08571428571428572,0.10634920634920635
down_3pct_10d,Turbulence RF,0.5192386363636363,0.12752806278068746,0.11235955056179775,0.125,0.11834319526627218,0.12698412698412698
down_3pct_10d,SMA Vol RF,0.5096763076270512,0.10338431568382409,0.04918032786885246,0.08955223880597014,0.06349206349206349,0.10634920634920635
vol_regime_shift,SCDA,0.5,0.0,0.0,0.0,0.0,0.0
vol_regime_shift,Spectral Only,0.5,0.0,0.0,0.0,0.0,0.0
vol_regime_shift,RF Traditional,0.928679435483871,0.1371229188445713,0.08064516129032258,0.625,0.14285714285714285,0.015873015873015872
vol_regime_shift,Turbulence RF,0.8453664026316928,0.5850500786694238,0.3368421052631579,0.6274509803921569,0.4383561643835616,0.10119047619047619
vol_regime_shift,SMA Vol RF,0.9149999999999999,0.05880265567765568,0.04477611940298507,0.75,0.08450704225352113,0.007936507936507936
