Task,model,auc_roc,avg_precision,precision,recall,f1,is_ours
Large UP move 3d (>3%),CGECD (Ours),0.831871067476676,0.19560538546161818,0.24060150375939848,0.36363636363636365,0.2895927601809955,True
Large UP move 3d (>3%),Logistic Regression,0.7750596658711216,0.2098411889513154,0.2578125,0.375,0.3055555555555556,False
Large UP move 3d (>3%),SVM,0.7912982751139076,0.13002513327907797,0.15053763440860216,0.6363636363636364,0.24347826086956523,False
Large UP move 3d (>3%),Gradient Boosting,0.7701168908656976,0.1703180123394307,0.2028985507246377,0.3181818181818182,0.24778761061946902,False
Large UP move 3d (>3%),Random Forest,0.8301285528314168,0.18743445844007198,0.2962962962962963,0.2727272727272727,0.28402366863905326,False
Large UP move 3d (>3%),Absorption Ratio,0.606659524842699,0.08833899359116806,0.084070796460177,0.4318181818181818,0.14074074074074075,False
Large UP move 3d (>3%),Turbulence Index,0.6142330223475809,0.11129946692259826,0.09973045822102426,0.42045454545454547,0.16122004357298475,False
Large UP move 3d (>3%),"GARCH(1,1)",0.7758122694727707,0.17587874488875296,0.2046783625730994,0.3977272727272727,0.2702702702702703,False
Large UP move 3d (>3%),HAR-RV,0.8094421241050119,0.17856220836547146,0.22950819672131148,0.3181818181818182,0.26666666666666666,False
Large DOWN move 3d (>3%),CGECD (Ours),0.6729774493566059,0.08494056167785427,0.10039370078740158,0.5425531914893617,0.16943521594684385,True
Large DOWN move 3d (>3%),Logistic Regression,0.6027837941138997,0.08206047664739663,0.09978308026030369,0.48936170212765956,0.16576576576576577,False
Large DOWN move 3d (>3%),SVM,0.5630589884061664,0.06392471064625524,0.08620689655172414,0.2127659574468085,0.12269938650306748,False
Large DOWN move 3d (>3%),Gradient Boosting,0.5146005860619187,0.074808376261817,0.1357142857142857,0.20212765957446807,0.1623931623931624,False
Large DOWN move 3d (>3%),Random Forest,0.680150337622627,0.09116926039725953,0.10218978102189781,0.5957446808510638,0.17445482866043613,False
Large DOWN move 3d (>3%),Absorption Ratio,0.5952541725060516,0.06757557059508576,0.07516339869281045,0.7340425531914894,0.13636363636363635,False
Large DOWN move 3d (>3%),Turbulence Index,0.5070008918333546,0.0764420813399576,0.08860759493670886,0.22340425531914893,0.1268882175226586,False
Large DOWN move 3d (>3%),"GARCH(1,1)",0.7027646833991591,0.1334357396737381,0.17575757575757575,0.30851063829787234,0.22393822393822393,False
Large DOWN move 3d (>3%),HAR-RV,0.7603962288189579,0.13747056728194013,0.14982578397212543,0.4574468085106383,0.22572178477690288,False
